SyNG-BTS实验记录
格式: 癌症种类-标准化方法-batch编号-增强方法-状态|时间戳|耗时|完成比例|已完成/总数
KICH-TC-batch16-AE_head-success|2025-10-22 20:12:49|0:00:56|14.6%|70/480
KICH-TC-batch16-None-success|2025-10-22 20:13:20|0:00:31|14.8%|71/480
KICH-TC-batch17-AE_head-success|2025-10-22 20:14:20|0:00:59|15.0%|72/480
KICH-TC-batch17-None-success|2025-10-22 20:14:51|0:00:31|15.2%|73/480
KICH-TC-batch18-AE_head-success|2025-10-22 20:15:48|0:00:56|15.4%|74/480
KICH-TC-batch18-None-success|2025-10-22 20:16:20|0:00:31|15.6%|75/480
KICH-TC-batch19-AE_head-success|2025-10-22 20:17:17|0:00:56|15.8%|76/480
KICH-TC-batch19-None-success|2025-10-22 20:17:49|0:00:31|16.0%|77/480
KICH-TC-batch20-AE_head-success|2025-10-22 20:18:46|0:00:57|16.2%|78/480
KICH-TC-batch20-None-success|2025-10-22 20:19:17|0:00:31|16.5%|79/480
KICH-DESeq-batch1-AE_head-success|2025-10-22 20:20:14|0:00:56|16.7%|80/480
KICH-DESeq-batch1-None-success|2025-10-22 20:20:45|0:00:31|16.9%|81/480
KICH-DESeq-batch2-AE_head-success|2025-10-22 20:21:44|0:00:59|17.1%|82/480
KICH-DESeq-batch2-None-success|2025-10-22 20:22:16|0:00:31|17.3%|83/480
KICH-DESeq-batch3-AE_head-success|2025-10-22 20:23:14|0:00:57|17.5%|84/480
KICH-DESeq-batch3-None-success|2025-10-22 20:23:45|0:00:31|17.7%|85/480
KICH-DESeq-batch4-AE_head-success|2025-10-22 20:24:42|0:00:57|17.9%|86/480
KICH-DESeq-batch4-None-success|2025-10-22 20:25:14|0:00:31|18.1%|87/480
KICH-DESeq-batch5-AE_head-success|2025-10-22 20:26:11|0:00:56|18.3%|88/480
KICH-DESeq-batch5-None-success|2025-10-22 20:26:42|0:00:31|18.5%|89/480
KICH-DESeq-batch6-AE_head-success|2025-10-22 20:27:39|0:00:57|18.8%|90/480
KICH-DESeq-batch6-None-success|2025-10-22 20:28:11|0:00:31|19.0%|91/480
KICH-DESeq-batch7-AE_head-success|2025-10-22 20:29:08|0:00:56|19.2%|92/480
KICH-DESeq-batch7-None-success|2025-10-22 20:29:39|0:00:31|19.4%|93/480
KICH-DESeq-batch8-AE_head-success|2025-10-22 20:30:39|0:01:00|19.6%|94/480
KICH-DESeq-batch8-None-success|2025-10-22 20:31:11|0:00:31|19.8%|95/480
KICH-DESeq-batch9-AE_head-success|2025-10-22 20:32:09|0:00:57|20.0%|96/480
KICH-DESeq-batch9-None-success|2025-10-22 20:32:40|0:00:31|20.2%|97/480
KICH-DESeq-batch10-AE_head-success|2025-10-22 20:33:37|0:00:57|20.4%|98/480
KICH-DESeq-batch10-None-success|2025-10-22 20:34:09|0:00:31|20.6%|99/480
KICH-DESeq-batch11-AE_head-success|2025-10-22 20:35:06|0:00:56|20.8%|100/480
KICH-DESeq-batch11-None-success|2025-10-22 20:35:37|0:00:31|21.0%|101/480
KICH-DESeq-batch12-AE_head-success|2025-10-22 20:36:34|0:00:56|21.2%|102/480
KICH-DESeq-batch12-None-success|2025-10-22 20:37:06|0:00:31|21.5%|103/480
KICH-DESeq-batch13-AE_head-success|2025-10-22 20:38:03|0:00:56|21.7%|104/480
KICH-DESeq-batch13-None-success|2025-10-22 20:38:34|0:00:31|21.9%|105/480
KICH-DESeq-batch14-AE_head-success|2025-10-22 20:39:31|0:00:56|22.1%|106/480
KICH-DESeq-batch14-None-success|2025-10-22 20:40:06|0:00:35|22.3%|107/480
KICH-DESeq-batch15-AE_head-success|2025-10-22 20:41:03|0:00:57|22.5%|108/480
KICH-DESeq-batch15-None-success|2025-10-22 20:41:35|0:00:31|22.7%|109/480
KICH-DESeq-batch16-AE_head-success|2025-10-22 20:42:32|0:00:57|22.9%|110/480
KICH-DESeq-batch16-None-success|2025-10-22 20:43:03|0:00:31|23.1%|111/480
KICH-DESeq-batch17-AE_head-success|2025-10-22 20:44:00|0:00:56|23.3%|112/480
KICH-DESeq-batch17-None-success|2025-10-22 20:44:32|0:00:31|23.5%|113/480
KICH-DESeq-batch18-AE_head-success|2025-10-22 20:45:29|0:00:57|23.8%|114/480
KICH-DESeq-batch18-None-success|2025-10-22 20:46:01|0:00:31|24.0%|115/480
KICH-DESeq-batch19-AE_head-success|2025-10-22 20:46:58|0:00:57|24.2%|116/480
KICH-DESeq-batch19-None-success|2025-10-22 20:47:29|0:00:31|24.4%|117/480
KICH-DESeq-batch20-AE_head-success|2025-10-22 20:48:27|0:00:57|24.6%|118/480
KICH-DESeq-batch20-None-success|2025-10-22 20:48:58|0:00:31|24.8%|119/480
PAAD-raw-batch1-AE_head-success|2025-10-22 20:49:56|0:00:57|25.0%|120/480
PAAD-raw-batch1-None-success|2025-10-22 20:50:28|0:00:31|25.2%|121/480
PAAD-raw-batch2-AE_head-success|2025-10-22 20:51:29|0:01:01|25.4%|122/480
PAAD-raw-batch2-None-success|2025-10-22 20:52:02|0:00:32|25.6%|123/480
PAAD-raw-batch3-AE_head-success|2025-10-22 20:53:00|0:00:58|25.8%|124/480
PAAD-raw-batch3-None-success|2025-10-22 20:53:32|0:00:31|26.0%|125/480
PAAD-raw-batch4-AE_head-success|2025-10-22 20:54:30|0:00:57|26.2%|126/480
PAAD-raw-batch4-None-success|2025-10-22 20:55:02|0:00:32|26.5%|127/480
PAAD-raw-batch5-AE_head-success|2025-10-22 20:55:59|0:00:57|26.7%|128/480
PAAD-raw-batch5-None-success|2025-10-22 20:56:31|0:00:31|26.9%|129/480
PAAD-raw-batch6-AE_head-success|2025-10-22 20:57:29|0:00:57|27.1%|130/480
PAAD-raw-batch6-None-success|2025-10-22 20:58:01|0:00:32|27.3%|131/480
PAAD-raw-batch7-AE_head-success|2025-10-22 20:58:59|0:00:57|27.5%|132/480
PAAD-raw-batch7-None-success|2025-10-22 20:59:31|0:00:32|27.7%|133/480
PAAD-raw-batch8-AE_head-success|2025-10-22 21:00:29|0:00:57|27.9%|134/480
PAAD-raw-batch8-None-success|2025-10-22 21:01:01|0:00:32|28.1%|135/480
PAAD-raw-batch9-AE_head-success|2025-10-22 21:01:59|0:00:57|28.3%|136/480
PAAD-raw-batch9-None-success|2025-10-22 21:02:31|0:00:32|28.5%|137/480
PAAD-raw-batch10-AE_head-success|2025-10-22 21:03:29|0:00:57|28.7%|138/480
PAAD-raw-batch10-None-success|2025-10-22 21:04:06|0:00:37|29.0%|139/480
PAAD-raw-batch11-AE_head-success|2025-10-22 21:05:04|0:00:58|29.2%|140/480
PAAD-raw-batch11-None-success|2025-10-22 21:05:36|0:00:32|29.4%|141/480
PAAD-raw-batch12-AE_head-success|2025-10-22 21:06:34|0:00:57|29.6%|142/480
PAAD-raw-batch12-None-success|2025-10-22 21:07:06|0:00:32|29.8%|143/480
PAAD-raw-batch13-AE_head-success|2025-10-22 21:08:03|0:00:57|30.0%|144/480
PAAD-raw-batch13-None-success|2025-10-22 21:08:36|0:00:32|30.2%|145/480
PAAD-raw-batch14-AE_head-success|2025-10-22 21:09:33|0:00:57|30.4%|146/480
PAAD-raw-batch14-None-success|2025-10-22 21:10:05|0:00:31|30.6%|147/480
PAAD-raw-batch15-AE_head-success|2025-10-22 21:11:03|0:00:57|30.8%|148/480
PAAD-raw-batch15-None-success|2025-10-22 21:11:35|0:00:32|31.0%|149/480
PAAD-raw-batch16-AE_head-success|2025-10-22 21:12:33|0:00:58|31.2%|150/480
PAAD-raw-batch16-None-success|2025-10-22 21:13:06|0:00:32|31.5%|151/480
PAAD-raw-batch17-AE_head-success|2025-10-22 21:14:04|0:00:57|31.7%|152/480
PAAD-raw-batch17-None-success|2025-10-22 21:14:36|0:00:32|31.9%|153/480
PAAD-raw-batch18-AE_head-success|2025-10-22 21:15:33|0:00:57|32.1%|154/480
PAAD-raw-batch18-None-success|2025-10-22 21:16:05|0:00:31|32.3%|155/480
PAAD-raw-batch19-AE_head-success|2025-10-22 21:17:03|0:00:57|32.5%|156/480
PAAD-raw-batch19-None-success|2025-10-22 21:17:35|0:00:32|32.7%|157/480
PAAD-raw-batch20-AE_head-success|2025-10-22 21:18:32|0:00:57|32.9%|158/480
PAAD-raw-batch20-None-success|2025-10-22 21:19:10|0:00:38|33.1%|159/480
PAAD-TC-batch1-AE_head-success|2025-10-22 21:20:08|0:00:57|33.3%|160/480
PAAD-TC-batch1-None-success|2025-10-22 21:20:40|0:00:32|33.5%|161/480
PAAD-TC-batch2-AE_head-success|2025-10-22 21:21:38|0:00:57|33.8%|162/480
PAAD-TC-batch2-None-success|2025-10-22 21:22:10|0:00:32|34.0%|163/480
PAAD-TC-batch3-AE_head-success|2025-10-22 21:23:08|0:00:58|34.2%|164/480
PAAD-TC-batch3-None-success|2025-10-22 21:23:41|0:00:32|34.4%|165/480
PAAD-TC-batch4-AE_head-success|2025-10-22 21:24:39|0:00:58|34.6%|166/480
PAAD-TC-batch4-None-success|2025-10-22 21:25:11|0:00:32|34.8%|167/480
PAAD-TC-batch5-AE_head-success|2025-10-22 21:26:09|0:00:57|35.0%|168/480
PAAD-TC-batch5-None-success|2025-10-22 21:26:40|0:00:31|35.2%|169/480
PAAD-TC-batch6-AE_head-success|2025-10-22 21:27:38|0:00:57|35.4%|170/480
PAAD-TC-batch6-None-success|2025-10-22 21:28:10|0:00:32|35.6%|171/480
PAAD-TC-batch7-AE_head-success|2025-10-22 21:29:07|0:00:57|35.8%|172/480
PAAD-TC-batch7-None-success|2025-10-22 21:29:39|0:00:31|36.0%|173/480
PAAD-TC-batch8-AE_head-success|2025-10-22 21:30:37|0:00:57|36.2%|174/480
PAAD-TC-batch8-None-success|2025-10-22 21:31:09|0:00:31|36.5%|175/480
PAAD-TC-batch9-AE_head-success|2025-10-22 21:32:06|0:00:57|36.7%|176/480
PAAD-TC-batch9-None-success|2025-10-22 21:32:38|0:00:32|36.9%|177/480
PAAD-TC-batch10-AE_head-success|2025-10-22 21:33:36|0:00:57|37.1%|178/480
PAAD-TC-batch10-None-success|2025-10-22 21:34:08|0:00:31|37.3%|179/480
PAAD-TC-batch11-AE_head-success|2025-10-22 21:35:06|0:00:57|37.5%|180/480
PAAD-TC-batch11-None-success|2025-10-22 21:35:45|0:00:38|37.7%|181/480
PAAD-TC-batch12-AE_head-success|2025-10-22 21:36:43|0:00:58|37.9%|182/480
PAAD-TC-batch12-None-success|2025-10-22 21:37:15|0:00:31|38.1%|183/480
PAAD-TC-batch13-AE_head-success|2025-10-22 21:38:12|0:00:57|38.3%|184/480
PAAD-TC-batch13-None-success|2025-10-22 21:38:44|0:00:31|38.5%|185/480
PAAD-TC-batch14-AE_head-success|2025-10-22 21:39:43|0:00:58|38.8%|186/480
PAAD-TC-batch14-None-success|2025-10-22 21:40:15|0:00:32|39.0%|187/480
PAAD-TC-batch15-AE_head-success|2025-10-22 21:41:13|0:00:58|39.2%|188/480
PAAD-TC-batch15-None-success|2025-10-22 21:41:45|0:00:32|39.4%|189/480
PAAD-TC-batch16-AE_head-success|2025-10-22 21:42:44|0:00:58|39.6%|190/480
PAAD-TC-batch16-None-success|2025-10-22 21:43:16|0:00:32|39.8%|191/480
PAAD-TC-batch17-AE_head-success|2025-10-22 21:44:13|0:00:57|40.0%|192/480
PAAD-TC-batch17-None-success|2025-10-22 21:44:46|0:00:32|40.2%|193/480
PAAD-TC-batch18-AE_head-success|2025-10-22 21:45:43|0:00:57|40.4%|194/480
PAAD-TC-batch18-None-success|2025-10-22 21:46:15|0:00:31|40.6%|195/480
PAAD-TC-batch19-AE_head-success|2025-10-22 21:47:13|0:00:58|40.8%|196/480
PAAD-TC-batch19-None-success|2025-10-22 21:47:45|0:00:32|41.0%|197/480
PAAD-TC-batch20-AE_head-success|2025-10-22 21:48:42|0:00:57|41.2%|198/480
PAAD-TC-batch20-None-success|2025-10-22 21:49:14|0:00:31|41.5%|199/480
PAAD-DESeq-batch1-AE_head-success|2025-10-22 21:50:12|0:00:57|41.7%|200/480
PAAD-DESeq-batch1-None-success|2025-10-22 21:50:44|0:00:32|41.9%|201/480
PAAD-DESeq-batch2-AE_head-success|2025-10-22 21:51:42|0:00:57|42.1%|202/480
PAAD-DESeq-batch2-None-success|2025-10-22 21:52:14|0:00:32|42.3%|203/480
PAAD-DESeq-batch3-AE_head-success|2025-10-22 21:53:12|0:00:57|42.5%|204/480
PAAD-DESeq-batch3-None-success|2025-10-22 21:53:44|0:00:32|42.7%|205/480
PAAD-DESeq-batch4-AE_head-success|2025-10-22 21:54:53|0:01:08|42.9%|206/480
PAAD-DESeq-batch4-None-success|2025-10-22 21:55:25|0:00:32|43.1%|207/480
PAAD-DESeq-batch5-AE_head-success|2025-10-22 21:56:23|0:00:58|43.3%|208/480
PAAD-DESeq-batch5-None-success|2025-10-22 21:56:57|0:00:33|43.5%|209/480
PAAD-DESeq-batch6-AE_head-success|2025-10-22 21:58:04|0:01:07|43.8%|210/480
PAAD-DESeq-batch6-None-success|2025-10-22 21:58:38|0:00:33|44.0%|211/480
PAAD-DESeq-batch7-AE_head-success|2025-10-22 21:59:40|0:01:02|44.2%|212/480
PAAD-DESeq-batch7-None-success|2025-10-22 22:00:14|0:00:33|44.4%|213/480
PAAD-DESeq-batch8-AE_head-success|2025-10-22 22:01:20|0:01:05|44.6%|214/480
PAAD-DESeq-batch8-None-success|2025-10-22 22:01:54|0:00:34|44.8%|215/480
PAAD-DESeq-batch9-AE_head-success|2025-10-22 22:02:56|0:01:01|45.0%|216/480
PAAD-DESeq-batch9-None-success|2025-10-22 22:03:30|0:00:34|45.2%|217/480
PAAD-DESeq-batch10-AE_head-success|2025-10-22 22:04:35|0:01:04|45.4%|218/480
PAAD-DESeq-batch10-None-success|2025-10-22 22:05:08|0:00:33|45.6%|219/480
PAAD-DESeq-batch11-AE_head-success|2025-10-22 22:06:09|0:01:00|45.8%|220/480
PAAD-DESeq-batch11-None-success|2025-10-22 22:06:43|0:00:34|46.0%|221/480
PAAD-DESeq-batch12-AE_head-success|2025-10-22 22:07:46|0:01:03|46.2%|222/480
PAAD-DESeq-batch12-None-success|2025-10-22 22:08:20|0:00:33|46.5%|223/480
PAAD-DESeq-batch13-AE_head-success|2025-10-22 22:09:21|0:01:01|46.7%|224/480
