SyNG-BTS实验记录 - PAAD_5-2和READ_5-2
格式: 癌症种类-标准化方法-batch编号-增强方法-状态|时间戳|耗时|完成比例|已完成/总数
PAAD_5-2-TC-batch1-None-success|2025-11-06 20:05:57|0:00:37|16.9%|61/360
PAAD_5-2-TC-batch1-Gaussian_head-success|2025-11-06 20:06:51|0:00:54|17.2%|62/360
PAAD_5-2-TC-batch2-AE_head-success|2025-11-06 20:08:00|0:01:08|17.5%|63/360
PAAD_5-2-TC-batch2-None-success|2025-11-06 20:08:35|0:00:35|17.8%|64/360
PAAD_5-2-TC-batch2-Gaussian_head-success|2025-11-06 20:09:28|0:00:52|18.1%|65/360
PAAD_5-2-TC-batch3-AE_head-success|2025-11-06 20:10:31|0:01:02|18.3%|66/360
PAAD_5-2-TC-batch3-None-success|2025-11-06 20:11:05|0:00:33|18.6%|67/360
PAAD_5-2-TC-batch3-Gaussian_head-success|2025-11-06 20:11:54|0:00:48|18.9%|68/360
PAAD_5-2-TC-batch4-AE_head-success|2025-11-06 20:12:57|0:01:03|19.2%|69/360
PAAD_5-2-TC-batch4-None-success|2025-11-06 20:13:32|0:00:34|19.4%|70/360
PAAD_5-2-TC-batch4-Gaussian_head-success|2025-11-06 20:14:22|0:00:50|19.7%|71/360
PAAD_5-2-TC-batch5-AE_head-success|2025-11-06 20:15:25|0:01:03|20.0%|72/360
PAAD_5-2-TC-batch5-None-success|2025-11-06 20:15:59|0:00:34|20.3%|73/360
PAAD_5-2-TC-batch5-Gaussian_head-success|2025-11-06 20:16:48|0:00:48|20.6%|74/360
PAAD_5-2-TC-batch6-AE_head-success|2025-11-06 20:17:51|0:01:02|20.8%|75/360
PAAD_5-2-TC-batch6-None-success|2025-11-06 20:18:24|0:00:33|21.1%|76/360
PAAD_5-2-TC-batch6-Gaussian_head-success|2025-11-06 20:19:12|0:00:48|21.4%|77/360
PAAD_5-2-TC-batch7-AE_head-success|2025-11-06 20:20:21|0:01:08|21.7%|78/360
PAAD_5-2-TC-batch7-None-success|2025-11-06 20:20:57|0:00:36|21.9%|79/360
PAAD_5-2-TC-batch7-Gaussian_head-success|2025-11-06 20:21:47|0:00:49|22.2%|80/360
PAAD_5-2-TC-batch8-AE_head-success|2025-11-06 20:22:58|0:01:10|22.5%|81/360
PAAD_5-2-TC-batch8-None-success|2025-11-06 20:23:35|0:00:36|22.8%|82/360
PAAD_5-2-TC-batch8-Gaussian_head-success|2025-11-06 20:24:24|0:00:49|23.1%|83/360
PAAD_5-2-TC-batch9-AE_head-success|2025-11-06 20:25:28|0:01:03|23.3%|84/360
PAAD_5-2-TC-batch9-None-success|2025-11-06 20:26:04|0:00:35|23.6%|85/360
